insight_id,merchant_id,as_of_date,insight_type,observation_start,observation_end,baseline_start,baseline_end,current_value_cop,baseline_value_cop,change_pct,priority,evidence_text,recommendation_text
INS-20260901-M001-SVD28D,M001,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,36000000,50000000,-28.0,LOW,El volumen aprobado cayó 28 %: de 50.000.000 COP (2026-07-07 a 2026-08-03) a 36.000.000 COP (2026-08-04 a 2026-08-31).,"Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M006-SVG28D,M006,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,42000000,30000000,40.0,MEDIUM,El volumen aprobado creció 40 %: de 30.000.000 COP (2026-07-07 a 2026-08-03) a 42.000.000 COP (2026-08-04 a 2026-08-31).,Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M007-SVD28D,M007,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,0,28000000,-100.0,HIGH,El volumen aprobado cayó 100 %: de 28.000.000 COP (2026-07-07 a 2026-08-03) a 0 COP (2026-08-04 a 2026-08-31).,"Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M014-SVG28D,M014,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,58637000,34123534,71.837419,HIGH,"El volumen aprobado creció 71,837419 %: de 34.123.534 COP (2026-07-07 a 2026-08-03) a 58.637.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M016-SVD28D,M016,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,4638000,6349685,-26.957007,LOW,"El volumen aprobado cayó 26,957007 %: de 6.349.685 COP (2026-07-07 a 2026-08-03) a 4.638.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M021-SVD28D,M021,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3138000,6546357,-52.064942,HIGH,"El volumen aprobado cayó 52,064942 %: de 6.546.357 COP (2026-07-07 a 2026-08-03) a 3.138.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M025-SVD28D,M025,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,6466000,9545169,-32.258926,LOW,"El volumen aprobado cayó 32,258926 %: de 9.545.169 COP (2026-07-07 a 2026-08-03) a 6.466.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M026-SVG28D,M026,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,43082000,32635078,32.011328,LOW,"El volumen aprobado creció 32,011328 %: de 32.635.078 COP (2026-07-07 a 2026-08-03) a 43.082.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
INS-20260901-M040-SVD28D,M040,2026-09-01,SALES_VOLUME_DECLINE_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,3730000,7161044,-47.912623,MEDIUM,"El volumen aprobado cayó 47,912623 %: de 7.161.044 COP (2026-07-07 a 2026-08-03) a 3.730.000 COP (2026-08-04 a 2026-08-31).","Contactar al comercio para entender si existe un problema operativo, estacional o de continuidad del servicio."
INS-20260901-M045-SVG28D,M045,2026-09-01,SALES_VOLUME_GROWTH_28D,2026-08-04,2026-08-31,2026-07-07,2026-08-03,10303000,7164036,43.815581,MEDIUM,"El volumen aprobado creció 43,815581 %: de 7.164.036 COP (2026-07-07 a 2026-08-03) a 10.303.000 COP (2026-08-04 a 2026-08-31).",Contactar al comercio para comprender el crecimiento observado y evaluar oportunidades de acompañamiento comercial.
