merchant_id,merchant_name,city,business_segment,acquisition_channel,registered_cohort_month,registered_at,validation_started_at,documents_completed_at,approved_at,activated_at,rejected_at,abandoned_at,last_onboarding_event_type,last_onboarding_event_at,highest_stage_reached,onboarding_status,exit_from_stage,onboarding_event_count,days_since_registered,days_in_current_stage,is_commercial_activation_30d_eligible,is_technically_activated,days_to_technical_activation,first_transaction_date,days_to_first_transaction,first_transaction_status,commercial_activation_30d,days_since_first_transaction,is_active_30d_eligible,is_active_30d
M001,Café Horizonte,Cali,SMALL,DIGITAL,2025-01,2025-01-01T09:00:00-05:00,2025-01-03T02:00:00-05:00,2025-01-09T04:30:00-05:00,2025-01-11T16:15:00-05:00,2025-01-12T15:15:00-05:00,,,ACTIVATED,2025-01-12T15:15:00-05:00,ACTIVATED,ACTIVATED,,5,608,597,True,True,11,2025-01-14,13,ON_TIME,True,595,True,True
M002,Floristería Coral,Barranquilla,SMALL,DIGITAL,2025-01,2025-01-08T10:00:00-05:00,2025-01-09T18:00:00-05:00,2025-01-17T18:00:00-05:00,,,2025-01-20T15:15:00-05:00,,REJECTED,2025-01-20T15:15:00-05:00,DOCUMENTS_COMPLETED,REJECTED,DOCUMENTS_COMPLETED,4,601,589,True,False,,,,NOT_APPLICABLE,False,,False,
M003,Farmacia Horizonte,Medellín,SMALL,REFERIDOS,2025-01,2025-01-15T11:00:00-05:00,2025-01-16T23:15:00-05:00,,,,,2025-01-22T10:15:00-05:00,ABANDONED,2025-01-22T10:15:00-05:00,VALIDATION_STARTED,ABANDONED,VALIDATION_STARTED,3,594,587,True,False,,,,NOT_APPLICABLE,False,,False,
M004,Farmacia Sol,Barranquilla,SMALL,VENTA_DIRECTA,2025-01,2025-01-22T12:00:00-05:00,2025-01-23T13:00:00-05:00,2025-01-26T07:00:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-01-26T07:00:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,587,583,True,False,,,,NOT_APPLICABLE,False,,False,
M005,Librería Prisma,Cartagena,SMALL,DIGITAL,2025-02,2025-02-01T10:30:00-05:00,2025-02-02T14:30:00-05:00,2025-02-10T13:00:00-05:00,,,,,DOCUMENTS_COMPLETED,2025-02-10T13:00:00-05:00,DOCUMENTS_COMPLETED,IN_PROGRESS,,3,577,568,True,False,,,,NOT_APPLICABLE,False,,False,
M006,Restaurante Coral,Medellín,SMALL,VENTA_DIRECTA,2025-03,2025-03-29T13:15:00-05:00,2025-03-29T16:00:00-05:00,2025-04-07T03:00:00-05:00,2025-04-09T16:15:00-05:00,2025-04-10T11:45:00-05:00,,,ACTIVATED,2025-04-10T11:45:00-05:00,ACTIVATED,ACTIVATED,,5,521,509,True,True,12,2025-04-12,14,ON_TIME,True,507,True,True
M007,Café Colibrí,Bogotá,SMALL,DIGITAL,2025-10,2025-10-19T12:45:00-05:00,2025-10-20T05:00:00-05:00,2025-10-28T12:00:00-05:00,2025-11-02T06:45:00-05:00,2025-11-06T19:30:00-05:00,,,ACTIVATED,2025-11-06T19:30:00-05:00,ACTIVATED,ACTIVATED,,5,317,299,True,True,18,2025-11-08,20,ON_TIME,True,297,True,True
M008,Taller Orquídea,Medellín,MEDIUM,VENTA_DIRECTA,2026-05,2026-05-02T17:30:00-05:00,2026-05-02T22:30:00-05:00,2026-05-12T18:00:00-05:00,2026-05-15T07:30:00-05:00,2026-05-16T20:45:00-05:00,,,ACTIVATED,2026-05-16T20:45:00-05:00,ACTIVATED,ACTIVATED,,5,122,108,True,True,14,2026-05-18,16,ON_TIME,True,106,True,True
M009,Óptica Roble,Cali,MEDIUM,DIGITAL,2026-07,2026-07-24T12:15:00-05:00,2026-07-25T15:45:00-05:00,2026-07-31T19:15:00-05:00,2026-08-06T08:15:00-05:00,2026-08-07T13:00:00-05:00,,,ACTIVATED,2026-08-07T13:00:00-05:00,ACTIVATED,ACTIVATED,,5,39,25,True,True,14,2026-08-25,32,LATE,False,7,False,
M010,Panadería Aurora,Cartagena,MEDIUM,DIGITAL,2026-08,2026-08-07T17:45:00-05:00,2026-08-09T07:45:00-05:00,2026-08-10T08:30:00-05:00,2026-08-14T14:30:00-05:00,2026-08-18T07:45:00-05:00,,,ACTIVATED,2026-08-18T07:45:00-05:00,ACTIVATED,ACTIVATED,,5,25,14,False,True,11,,,NOT_OBSERVED,,,False,
M011,Mercado Orquídea,Bogotá,SMALL,ALIADOS,2026-08,2026-08-28T15:15:00-05:00,2026-08-30T00:00:00-05:00,,,,,,VALIDATION_STARTED,2026-08-30T00:00:00-05:00,VALIDATION_STARTED,IN_PROGRESS,,2,4,2,False,False,,,,NOT_APPLICABLE,,,False,
M012,Farmacia Esmeralda,Cali,SMALL,DIGITAL,2025-10,2025-10-21T14:45:00-05:00,2025-10-23T06:45:00-05:00,2025-10-25T15:15:00-05:00,2025-10-26T21:30:00-05:00,2025-10-29T03:15:00-05:00,,,ACTIVATED,2025-10-29T03:15:00-05:00,ACTIVATED,ACTIVATED,,5,315,307,True,True,8,2025-11-03,13,ON_TIME,True,302,True,True
M013,Heladería Manzano,Cali,SMALL,DIGITAL,2025-08,2025-08-26T12:45:00-05:00,,,,,,2025-08-28T03:00:00-05:00,ABANDONED,2025-08-28T03:00:00-05:00,REGISTERED,ABANDONED,REGISTERED,2,371,369,True,False,,,,NOT_APPLICABLE,False,,False,
