merchant_id,as_of_date,first_transaction_date,days_since_first_transaction,baseline_start,baseline_end,observation_start,observation_end,baseline_value_cop,current_value_cop,baseline_approved_transactions,current_approved_transactions,baseline_active_days,current_active_days,is_sales_change_eligible,sales_change_ineligibility_reason,change_pct,is_sales_volume_decline_28d,is_sales_volume_growth_28d
M001,2026-09-01,2025-01-14,595,2026-07-07,2026-08-03,2026-08-04,2026-08-31,50000000,36000000,556,398,20,20,True,,-28.0,True,False
M002,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M003,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M004,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M005,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M006,2026-09-01,2025-04-12,507,2026-07-07,2026-08-03,2026-08-04,2026-08-31,30000000,42000000,335,467,20,20,True,,40.0,False,True
M007,2026-09-01,2025-11-08,297,2026-07-07,2026-08-03,2026-08-04,2026-08-31,28000000,0,314,0,20,0,True,,-100.0,True,False
M008,2026-09-01,2026-05-18,106,2026-07-07,2026-08-03,2026-08-04,2026-08-31,40000000,42000000,268,280,20,20,True,,5.0,False,False
M009,2026-09-01,2026-08-25,7,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M010,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M011,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
M012,2026-09-01,2025-11-03,302,2026-07-07,2026-08-03,2026-08-04,2026-08-31,8621142,9000000,98,100,19,20,True,,4.394522,False,False
M013,2026-09-01,,,2026-07-07,2026-08-03,2026-08-04,2026-08-31,,,,,,,False,INSUFFICIENT_HISTORY,,False,False
