merchant_id,sales_date,approved_transactions,sales_amount_cop
M001,2025-01-12,0,0
M001,2025-01-13,0,0
M001,2025-01-14,3,211404
M001,2025-01-15,2,312186
M001,2025-01-16,3,158583
M001,2025-01-17,0,0
M001,2025-01-18,0,0
M001,2025-01-19,3,199545
M001,2025-01-20,0,0
M001,2025-01-21,2,180720
M001,2025-01-22,6,1074648
M001,2025-01-23,6,416214
M001,2025-01-24,4,152188
M001,2025-01-25,5,533685
M001,2025-01-26,0,0
M001,2025-01-27,0,0
M001,2025-01-28,0,0
M001,2025-01-29,0,0
M001,2025-01-30,0,0
M001,2025-01-31,2,154440
M001,2025-02-01,8,631328
M001,2025-02-02,0,0
M001,2025-02-03,0,0
M001,2025-02-04,0,0
M001,2025-02-05,4,663864
M001,2025-02-06,1,75335
M001,2025-02-07,3,182139
M001,2025-02-08,3,303417
M001,2025-02-09,5,474910
M001,2025-02-10,5,779580
M001,2025-02-11,4,580836
M001,2025-02-12,0,0
M001,2025-02-13,7,535220
M001,2025-02-14,0,0
M001,2025-02-15,5,277030
M001,2025-02-16,4,497284
M001,2025-02-17,2,186556
M001,2025-02-18,2,255400
M001,2025-02-19,0,0
M001,2025-02-20,4,419104
M001,2025-02-21,0,0
M001,2025-02-22,0,0
M001,2025-02-23,5,576245
M001,2025-02-24,2,198056
M001,2025-02-25,7,565971
M001,2025-02-26,0,0
M001,2025-02-27,1,167692
M001,2025-02-28,4,382076
M001,2025-03-01,0,0
M001,2025-03-02,7,770273
M001,2025-03-03,4,150768
M001,2025-03-04,2,256410
M001,2025-03-05,6,810252
M001,2025-03-06,0,0
M001,2025-03-07,7,1213527
M001,2025-03-08,0,0
M001,2025-03-09,3,525513
M001,2025-03-10,0,0
M001,2025-03-11,0,0
M001,2025-03-12,5,489360
M001,2025-03-13,0,0
M001,2025-03-14,0,0
M001,2025-03-15,6,869088
M001,2025-03-16,5,575045
M001,2025-03-17,2,181384
M001,2025-03-18,4,505636
M001,2025-03-19,1,76266
M001,2025-03-20,2,274362
M001,2025-03-21,0,0
M001,2025-03-22,0,0
M001,2025-03-23,0,0
M001,2025-03-24,0,0
M001,2025-03-25,6,697848
M001,2025-03-26,6,704700
M001,2025-03-27,0,0
M001,2025-03-28,7,567238
M001,2025-03-29,0,0
M001,2025-03-30,7,270928
M001,2025-03-31,4,175328
M001,2025-04-01,0,0
M001,2025-04-02,3,294042
M001,2025-04-03,3,400170
M001,2025-04-04,0,0
M001,2025-04-05,6,450840
M001,2025-04-06,3,221274
M001,2025-04-07,0,0
M001,2025-04-08,5,333595
M001,2025-04-09,0,0
M001,2025-04-10,2,177444
M001,2025-04-11,2,276862
M001,2025-04-12,0,0
M001,2025-04-13,4,182520
M001,2025-04-14,7,639331
M001,2025-04-15,4,467676
M001,2025-04-16,4,360164
M001,2025-04-17,5,308455
M001,2025-04-18,5,244635
M001,2025-04-19,5,761380
M001,2025-04-20,1,59922
M001,2025-04-21,4,531156
M001,2025-04-22,1,177849
M001,2025-04-23,6,835020
M001,2025-04-24,4,574720
M001,2025-04-25,6,276672
M001,2025-04-26,2,336912
M001,2025-04-27,0,0
M001,2025-04-28,3,375615
M001,2025-04-29,1,80255
M001,2025-04-30,0,0
M001,2025-05-01,7,458507
M001,2025-05-02,5,782215
M001,2025-05-03,0,0
M001,2025-05-04,3,374100
M001,2025-05-05,5,302920
M001,2025-05-06,2,110720
M001,2025-05-07,0,0
M001,2025-05-08,0,0
M001,2025-05-09,3,326019
M001,2025-05-10,5,283175
M001,2025-05-11,3,293697
M001,2025-05-12,6,432402
M001,2025-05-13,6,643860
M001,2025-05-14,6,742974
M001,2025-05-15,0,0
M001,2025-05-16,5,742240
M001,2025-05-17,4,356392
M001,2025-05-18,2,275286
M001,2025-05-19,1,172184
M001,2025-05-20,5,415305
M001,2025-05-21,4,602568
M001,2025-05-22,0,0
M001,2025-05-23,0,0
M001,2025-05-24,6,446922
M001,2025-05-25,3,517047
M001,2025-05-26,0,0
M001,2025-05-27,4,192808
M001,2025-05-28,1,114902
M001,2025-05-29,2,269572
M001,2025-05-30,3,213486
M001,2025-05-31,3,351273
M001,2025-06-01,5,754225
M001,2025-06-02,3,440013
M001,2025-06-03,0,0
M001,2025-06-04,0,0
M001,2025-06-05,0,0
M001,2025-06-06,0,0
M001,2025-06-07,4,170268
M001,2025-06-08,0,0
M001,2025-06-09,0,0
M001,2025-06-10,4,346612
M001,2025-06-11,0,0
M001,2025-06-12,0,0
M001,2025-06-13,4,368836
M001,2025-06-14,0,0
M001,2025-06-15,0,0
M001,2025-06-16,5,555910
M001,2025-06-17,6,834198
M001,2025-06-18,5,572905
M001,2025-06-19,4,651760
M001,2025-06-20,0,0
M001,2025-06-21,1,38347
M001,2025-06-22,0,0
M001,2025-06-23,0,0
M001,2025-06-24,5,417745
M001,2025-06-25,0,0
M001,2025-06-26,5,369335
M001,2025-06-27,4,616480
M001,2025-06-28,2,122820
M001,2025-06-29,3,252741
M001,2025-06-30,2,337776
M001,2025-07-01,3,382629
M001,2025-07-02,3,476889
M001,2025-07-03,0,0
M001,2025-07-04,0,0
M001,2025-07-05,7,1021069
M001,2025-07-06,1,47628
M001,2025-07-07,4,496592
M001,2025-07-08,7,1114645
M001,2025-07-09,2,94726
M001,2025-07-10,1,106917
M001,2025-07-11,3,363942
M001,2025-07-12,0,0
M001,2025-07-13,0,0
M001,2025-07-14,3,250476
M001,2025-07-15,0,0
M001,2025-07-16,9,578628
M001,2025-07-17,4,158868
M001,2025-07-18,7,269038
M001,2025-07-19,2,297032
M001,2025-07-20,4,681360
M001,2025-07-21,0,0
M001,2025-07-22,3,152427
M001,2025-07-23,0,0
M001,2025-07-24,3,158139
M001,2025-07-25,6,443898
M001,2025-07-26,0,0
M001,2025-07-27,4,503324
M001,2025-07-28,0,0
M001,2025-07-29,4,496976
M001,2025-07-30,4,568292
M001,2025-07-31,0,0
M001,2025-08-01,2,75148
M001,2025-08-02,4,418432
M001,2025-08-03,0,0
M001,2025-08-04,8,1065752
M001,2025-08-05,0,0
M001,2025-08-06,2,347804
M001,2025-08-07,4,367180
M001,2025-08-08,0,0
M001,2025-08-09,0,0
M001,2025-08-10,0,0
M001,2025-08-11,0,0
M001,2025-08-12,0,0
M001,2025-08-13,0,0
M001,2025-08-14,5,329520
M001,2025-08-15,2,186418
M001,2025-08-16,5,317970
M001,2025-08-17,2,95866
M001,2025-08-18,4,255384
M001,2025-08-19,4,388712
M001,2025-08-20,0,0
M001,2025-08-21,0,0
M001,2025-08-22,1,106847
M001,2025-08-23,3,213414
M001,2025-08-24,0,0
M001,2025-08-25,5,193895
M001,2025-08-26,4,350024
M001,2025-08-27,9,774855
M001,2025-08-28,2,224668
M001,2025-08-29,0,0
M001,2025-08-30,0,0
M001,2025-08-31,0,0
M001,2025-09-01,0,0
M001,2025-09-02,6,1002852
M001,2025-09-03,0,0
M001,2025-09-04,4,448236
M001,2025-09-05,3,431709
M001,2025-09-06,0,0
M001,2025-09-07,0,0
M001,2025-09-08,2,209020
M001,2025-09-09,8,618912
M001,2025-09-10,1,62290
M001,2025-09-11,4,368068
M001,2025-09-12,1,73938
M001,2025-09-13,4,155376
M001,2025-09-14,0,0
M001,2025-09-15,2,93044
M001,2025-09-16,3,363693
M001,2025-09-17,5,424905
M001,2025-09-18,2,269888
M001,2025-09-19,0,0
M001,2025-09-20,4,562908
