merchant_id,merchant_name,city,business_segment,acquisition_channel
M001,Café Horizonte,Cali,SMALL,DIGITAL
M002,Floristería Coral,Barranquilla,SMALL,DIGITAL
M003,Farmacia Horizonte,Medellín,SMALL,REFERIDOS
M004,Farmacia Sol,Barranquilla,SMALL,VENTA_DIRECTA
M005,Librería Prisma,Cartagena,SMALL,DIGITAL
M006,Restaurante Coral,Medellín,SMALL,VENTA_DIRECTA
M007,Café Colibrí,Bogotá,SMALL,DIGITAL
M008,Taller Orquídea,Medellín,MEDIUM,VENTA_DIRECTA
M009,Óptica Roble,Cali,MEDIUM,DIGITAL
M010,Panadería Aurora,Cartagena,MEDIUM,DIGITAL
M011,Mercado Orquídea,Bogotá,SMALL,ALIADOS
M012,Farmacia Esmeralda,Cali,SMALL,DIGITAL
M013,Heladería Manzano,Cali,SMALL,DIGITAL
M014,Restaurante Guayacán,Medellín,MEDIUM,ALIADOS
M015,Ferretería Esmeralda,Bogotá,SMALL,ALIADOS
M016,Mercado Colibrí,Cali,SMALL,ALIADOS
M017,Óptica Orquídea,Bogotá,SMALL,DIGITAL
M018,Heladería Litoral,Cali,SMALL,VENTA_DIRECTA
M019,Floristería Nogal,Bogotá,SMALL,DIGITAL
M020,Farmacia Orquídea,Medellín,MEDIUM,VENTA_DIRECTA
M021,Papelería Coral,Barranquilla,SMALL,VENTA_DIRECTA
M022,Librería Horizonte,Medellín,SMALL,VENTA_DIRECTA
M023,Distribuidora Orquídea,Medellín,SMALL,VENTA_DIRECTA
M024,Taller Aurora,Medellín,SMALL,DIGITAL
M025,Restaurante Orquídea,Medellín,SMALL,REFERIDOS
M026,Miscelánea Guayacán,Cali,MEDIUM,DIGITAL
M027,Café Roble,Bogotá,SMALL,VENTA_DIRECTA
M028,Miscelánea Nébula,Bogotá,SMALL,REFERIDOS
M029,Panadería Granada,Bogotá,SMALL,REFERIDOS
M030,Librería Nogal,Cartagena,SMALL,VENTA_DIRECTA
M031,Panadería Orquídea,Bogotá,SMALL,VENTA_DIRECTA
M032,Miscelánea Nogal,Bucaramanga,SMALL,DIGITAL
M033,Taller Horizonte,Medellín,SMALL,REFERIDOS
M034,Distribuidora Granada,Bogotá,SMALL,VENTA_DIRECTA
M035,Floristería Sabana,Medellín,SMALL,REFERIDOS
M036,Café Esmeralda,Cali,SMALL,VENTA_DIRECTA
M037,Heladería Coral,Bogotá,SMALL,ALIADOS
M038,Miscelánea Horizonte,Barranquilla,SMALL,DIGITAL
M039,Distribuidora Sol,Barranquilla,SMALL,REFERIDOS
M040,Ferretería Nogal,Bogotá,SMALL,ALIADOS
M041,Café Sabana,Medellín,SMALL,VENTA_DIRECTA
M042,Boutique Sabana,Bogotá,SMALL,VENTA_DIRECTA
M043,Restaurante Prisma,Cali,MEDIUM,DIGITAL
M044,Librería Roble,Bogotá,MEDIUM,REFERIDOS
M045,Heladería Esmeralda,Bogotá,SMALL,VENTA_DIRECTA
M046,Librería Andino,Bogotá,SMALL,DIGITAL
M047,Distribuidora Alameda,Cartagena,SMALL,VENTA_DIRECTA
M048,Óptica Nébula,Medellín,SMALL,DIGITAL
M049,Café Nogal,Pereira,SMALL,VENTA_DIRECTA
M050,Librería Cedro,Bogotá,SMALL,VENTA_DIRECTA
M051,Floristería Andino,Bogotá,SMALL,DIGITAL
M052,Mercado Prisma,Bogotá,SMALL,VENTA_DIRECTA
M053,Miscelánea Manzano,Bucaramanga,SMALL,VENTA_DIRECTA
M054,Restaurante Manzano,Cali,SMALL,ALIADOS
M055,Librería Esmeralda,Medellín,MEDIUM,ALIADOS
M056,Ferretería Guayacán,Pereira,MEDIUM,DIGITAL
M057,Café Boreal,Barranquilla,SMALL,VENTA_DIRECTA
M058,Librería Nébula,Barranquilla,MEDIUM,REFERIDOS
M059,Café Prisma,Barranquilla,SMALL,ALIADOS
M060,Café Litoral,Bogotá,SMALL,ALIADOS
M061,Heladería Prisma,Cartagena,SMALL,ALIADOS
M062,Restaurante Cedro,Pereira,SMALL,VENTA_DIRECTA
M063,Taller Granada,Bogotá,MEDIUM,ALIADOS
M064,Óptica Aurora,Medellín,SMALL,VENTA_DIRECTA
M065,Distribuidora Sabana,Medellín,SMALL,ALIADOS
M066,Taller Andino,Barranquilla,SMALL,VENTA_DIRECTA
M067,Mercado Alameda,Bogotá,SMALL,VENTA_DIRECTA
M068,Farmacia Roble,Bogotá,SMALL,DIGITAL
M069,Panadería Prisma,Cali,MEDIUM,ALIADOS
M070,Papelería Cedro,Medellín,SMALL,DIGITAL
M071,Floristería Colibrí,Cartagena,SMALL,VENTA_DIRECTA
M072,Mercado Boreal,Cali,SMALL,REFERIDOS
M073,Papelería Horizonte,Pereira,SMALL,DIGITAL
M074,Restaurante Sol,Cali,SMALL,DIGITAL
M075,Boutique Roble,Barranquilla,SMALL,DIGITAL
M076,Papelería Guayacán,Barranquilla,SMALL,VENTA_DIRECTA
M077,Taller Colibrí,Pereira,MEDIUM,REFERIDOS
M078,Distribuidora Coral,Barranquilla,SMALL,DIGITAL
M079,Miscelánea Aurora,Bucaramanga,SMALL,DIGITAL
M080,Ferretería Marea,Bogotá,SMALL,DIGITAL
M081,Panadería Sabana,Pereira,SMALL,DIGITAL
M082,Boutique Alameda,Cartagena,MEDIUM,VENTA_DIRECTA
M083,Óptica Alameda,Cali,SMALL,ALIADOS
M084,Miscelánea Andino,Bogotá,SMALL,VENTA_DIRECTA
M085,Taller Boreal,Bogotá,SMALL,VENTA_DIRECTA
M086,Papelería Prisma,Barranquilla,MEDIUM,VENTA_DIRECTA
M087,Ferretería Roble,Bogotá,SMALL,DIGITAL
M088,Papelería Marea,Pereira,SMALL,VENTA_DIRECTA
M089,Óptica Cedro,Medellín,SMALL,VENTA_DIRECTA
M090,Óptica Sabana,Cali,SMALL,REFERIDOS
M091,Farmacia Guayacán,Barranquilla,SMALL,VENTA_DIRECTA
M092,Miscelánea Colibrí,Cali,SMALL,ALIADOS
M093,Miscelánea Esmeralda,Cali,SMALL,ALIADOS
M094,Ferretería Nébula,Medellín,SMALL,VENTA_DIRECTA
M095,Restaurante Aurora,Bogotá,SMALL,DIGITAL
