onboarding_event_id,merchant_id,event_type,event_at
OE0001,M001,REGISTERED,2025-01-01T09:00:00-05:00
OE0002,M001,VALIDATION_STARTED,2025-01-03T02:00:00-05:00
OE0003,M001,DOCUMENTS_COMPLETED,2025-01-09T04:30:00-05:00
OE0004,M001,APPROVED,2025-01-11T16:15:00-05:00
OE0005,M001,ACTIVATED,2025-01-12T15:15:00-05:00
OE0006,M002,REGISTERED,2025-01-08T10:00:00-05:00
OE0007,M002,VALIDATION_STARTED,2025-01-09T18:00:00-05:00
OE0008,M002,DOCUMENTS_COMPLETED,2025-01-17T18:00:00-05:00
OE0009,M002,REJECTED,2025-01-20T15:15:00-05:00
OE0010,M003,REGISTERED,2025-01-15T11:00:00-05:00
OE0011,M003,VALIDATION_STARTED,2025-01-16T23:15:00-05:00
OE0012,M003,ABANDONED,2025-01-22T10:15:00-05:00
OE0013,M004,REGISTERED,2025-01-22T12:00:00-05:00
OE0014,M004,VALIDATION_STARTED,2025-01-23T13:00:00-05:00
OE0015,M004,DOCUMENTS_COMPLETED,2025-01-26T07:00:00-05:00
OE0016,M005,REGISTERED,2025-02-01T10:30:00-05:00
OE0017,M005,VALIDATION_STARTED,2025-02-02T14:30:00-05:00
OE0018,M005,DOCUMENTS_COMPLETED,2025-02-10T13:00:00-05:00
OE0019,M006,REGISTERED,2025-03-29T13:15:00-05:00
OE0020,M006,VALIDATION_STARTED,2025-03-29T16:00:00-05:00
OE0021,M006,DOCUMENTS_COMPLETED,2025-04-07T03:00:00-05:00
OE0022,M006,APPROVED,2025-04-09T16:15:00-05:00
OE0023,M006,ACTIVATED,2025-04-10T11:45:00-05:00
OE0024,M007,REGISTERED,2025-10-19T12:45:00-05:00
OE0025,M007,VALIDATION_STARTED,2025-10-20T05:00:00-05:00
OE0026,M007,DOCUMENTS_COMPLETED,2025-10-28T12:00:00-05:00
OE0027,M007,APPROVED,2025-11-02T06:45:00-05:00
OE0028,M007,ACTIVATED,2025-11-06T19:30:00-05:00
OE0029,M008,REGISTERED,2026-05-02T17:30:00-05:00
OE0030,M008,VALIDATION_STARTED,2026-05-02T22:30:00-05:00
OE0031,M008,DOCUMENTS_COMPLETED,2026-05-12T18:00:00-05:00
OE0032,M008,APPROVED,2026-05-15T07:30:00-05:00
OE0033,M008,ACTIVATED,2026-05-16T20:45:00-05:00
OE0034,M009,REGISTERED,2026-07-24T12:15:00-05:00
OE0035,M009,VALIDATION_STARTED,2026-07-25T15:45:00-05:00
OE0036,M009,DOCUMENTS_COMPLETED,2026-07-31T19:15:00-05:00
OE0037,M009,APPROVED,2026-08-06T08:15:00-05:00
OE0038,M009,ACTIVATED,2026-08-07T13:00:00-05:00
OE0039,M010,REGISTERED,2026-08-07T17:45:00-05:00
OE0040,M010,VALIDATION_STARTED,2026-08-09T07:45:00-05:00
OE0041,M010,DOCUMENTS_COMPLETED,2026-08-10T08:30:00-05:00
OE0042,M010,APPROVED,2026-08-14T14:30:00-05:00
OE0043,M010,ACTIVATED,2026-08-18T07:45:00-05:00
OE0044,M011,REGISTERED,2026-08-28T15:15:00-05:00
OE0045,M011,VALIDATION_STARTED,2026-08-30T00:00:00-05:00
OE0046,M012,REGISTERED,2025-10-21T14:45:00-05:00
OE0047,M012,VALIDATION_STARTED,2025-10-23T06:45:00-05:00
OE0048,M012,DOCUMENTS_COMPLETED,2025-10-25T15:15:00-05:00
OE0049,M012,APPROVED,2025-10-26T21:30:00-05:00
